Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Message,Exact_Date
Cappagh Contractors Construction (London) Ltd,https://www.cappagh.co.uk/,unknown,24/02/54893,NA," Cappagh House, Waterside Way, London SW17 0HB, United Kingdom  Cappagh are a progressive, professional organisation who are proud to serve the construction industry across the South. Focussed on providing a dependable, agile service for large clients across the Utility, Highway, Airside and Land Remediation sectors and delivering exceptional services for local residents and developers including Skips, Aggregates and Utility Connections. From the smallest of tasks to national infrastructure projects, our customers and clients can truly rely on us to deliver.  Clearnet links>    https://anonfiles.com/bcrcJ2Kfy0/Audited_Accounts-finance_rar  https://anonfiles.com/3ercJ7K8y3/Cappagh_Contractors_rar  https://anonfiles.com/Eer7JaKey1/finance-othercoros_rar  https://anonfiles.com/y0r6J5Key9/management-toerhcrops2_rar",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/c86811c8-581c-435f-94b7-e69f0c7406db,BlackCat,NA,NA,"part 1, there will be more parts.  Cappagh House, Waterside Way, London SW17 0HB, United Kingdom  Cappagh are a progressive, professional organisation who are proud to serve the construction industry across the South. Focussed on providing a dependable, agile service for large clients across the Utility, Highway, Airside and Land Remediation sectors and delivering exceptional services for local residents and developers including Skips, Aggregates and Utility Connections.   DATA>  http://l7fuh4h4wiseaarmysosohdsfjyya3nkqqx7o74k7wa63ajvalb4g5id.onion  Clearnet links>   https://anonfiles.com/bcrcJ2Kfy0/Audited_Accounts-finance_rar  https://anonfiles.com/3ercJ7K8y3/Cappagh_Contractors_rar  https://anonfiles.com/Eer7JaKey1/finance-othercoros_rar  https://anonfiles.com/y0r6J5Key9/management-toerhcrops2_rar",24/02/54893 14:27:33
Philippine Economic Zone Authority (PEZA) peza.gov.ph,NA,NA,05/04/54892,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/eec0874d-4934-4076-bbb6-afb802b8a316,BlackCat,NA,NA,NA,05/04/54892 07:11:53
pro office Büro + Wohnkultur GmbH,NA,NA,02/06/54886,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ea8bb6fa-ca6c-4807-b133-09b87a11c472,BlackCat,NA,NA,NA,02/06/54886 05:13:35
Grupo NGN,https://grupongn.com/,unknown,05/02/54886,NA,"Grupo NGN has refused to protect their customers' data and access to their networks. This link (TOR) contains Grupo NGN's random files:  http://qojfcbvlumvzmiu4tyixawquk6bjiwv74aeaubxwtq7rmw4qq7sv2jad.onion/GRUPGN/  Auction ends Dec. 8 for all sensetive data of Grupo NGN and their customers, including - Access to multiple networks of Grupo NGN clients (with their networks secured, password changes will not help defend against an attack) - NDA documents and records of Grupo NGN customers' conversations - Personal data about employees and customers of Grupo NGN - Financial information of Grupo NGN and their clients that can be used for criminal purposes  To participate in an auction to purchase Grupo NGN and their customer data, you can email:  grupongndatasale@proton.me  GRUPONGN.COM HACKED. MORE THAN 200GB OF SENSITIVE DATA STOLEN.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9498ed0b-fce2-49f6-b02a-bed2c939ffde,BlackCat,NA,NA,"Who is Grupo NGN  Grupo NGN, Inc. is an Contact Center software developer (CCaaS) which was formed in August of 2014 as a successor company to SCS Inc., itself founded in 1987.  Headquarters: 11555 Heron Bay Blvd 200, Coral Springs, Florida, 33076, United States Phone Number: (815) 986-2690 Website: www.grupongn.com Revenue: $10M Facebook: www.facebook.com/grupoteleservices Linkedin: https://www.linkedin.com/company/53863572  Grupo NGN have a critically low level of data protection of their company and their clients, thanks to which we obtained more than 200GB of valuable data, among which:  - Source codes of Grupo NGN's software and developments - Client conversations records - Internal documentation - NDA documentation - Documents and contracts - Personal Data - Databases and SQL  And much more.  If Grupo NGN will not contact us and resolve the issue of recovery and protection of their data within 48 hours, the following actions will take place:  - All customer data, their phone records and other documents will be released to the public - All clients will be notified that Grupo NGN will be exposing their confidential data, phone records and other documents - Journalists and major media outlets will be given detailed information about the incident and proof of Grupo NGN's guilt and their negative attitude towards protecting their clients' data - All accesses to the network vulnerabilities of Grupo NGN and their clients will be published in the dark forums on behalf of Grupo NGN, which will lead to further attacks. Changing passwords and accesses won't help avoid it - All internal documentation and source codes of Grupo NGN developments will be publicly available and accessible to anyone",05/02/54886 10:23:51
LJ Hooker Palm Beach,https://palmbeach.ljhooker.com.au/,unknown,13/05/54884,NA,"Today, LJ Hooker is one of the largest real estate agency franchise groups in Australasia with over 700 franchises and 8,000 staff. We are proud of our history and proud to be THE number one real estate brand in Australia.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b0a9e79d-c9a5-4bc2-92b9-8daec06e2242,BlackCat,NA,NA,"375 GB data has been downloaded from company file servers, including:  - Internal Company Data (Employees personal data, CV's, DL's, ID's, Financial reports, Accounting data, Loans data, Insurance, Agreements and much more); - Clients documentation (DL's, ID's, Financial data, Credit cards information, Loans data, Confidential data, Credit cards, Agreements and much more); - Complete network map including credentials for local and remote services; - And more…",13/05/54884 18:02:31
"Shenzhen INVT Electric Co.,Ltd",https://invt.com.cn,unknown,15/12/54883,NA, ,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/79aa55f9-1628-4d41-9e25-ea4d947aef5a,BlackCat,NA,NA, 2.Financial department 4.Human Resources Department 5.Administrative department 6.0 Production Center - Public 6.Production Center - Production 7.Production Center - Logistics 8.1.Production planning plan 8.Production Center-PMK 9.Engineering Center 10.Quality Management Department 11.Security Service 12.Customer Service 13.Attendance management 14.Public Administration and Human Resources Service Platform 15.Lean 16.R&D department 17. Business morning meeting 18.Tri-standard system 19.Warranty Department 20.Reduce costs and increase efficiency 21.2019 Sudian Management Family Qualification Certification 22.For billing 23.Field inspection 6s 24. Suzhou Phase II project 25.Business Order Coordination 26.Mediation management 27.Product Maintenance Department 28.Project Management in Sudan 29.Sudian Service Database 30.Judicial quality information 31. wuxi business cooperation 32.Special for improving production tasks,15/12/54883 00:06:20
Jubilant,https://www.jubilantfoodworks.com,unknown,18/11/54882,NA,"Jubilant FoodWorks Limited is an Indian food service company based in Noida, Uttar Pradesh which holds the master franchise for Domino's Pizza in India, Nepal, Sri Lanka and Bangladesh, for Popeyes in India, Bangladesh, Nepal and Bhutan, and also for Dunkin' Donuts in India. The company also operates two homegrown restaurant brands called Ekdum! and Hong's Kitchen. Jubilant FoodWorks is a part of the Jubilant Bhartia Group, owned by Shyam Sunder Bhartia and Hari Bhartia",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9606c75b-02ef-4688-95ec-8e7f431cede3,BlackCat,NA,NA,We have a sensitive information about valuable data of the company and affiliates,18/11/54882 02:08:50
SEED CO LTD,www.seed.co.jp,unknown,02/04/54876,NA,"SEED CO LTD refused to protect the data of their company, employees and customers. This link (TOR) contains the random files of SEED CO LTD:  http://cs5c7mye7anrko6axmio5ebugh6gnqas4jbznf4po47i6gfuzuk4zeyd.onion/SEED/  Auction ends Dec. 9 for all sensetive data of SEED CO LTD and their customers, including - NDA engineering documents for various developments - Financial and personal information - Analytical and strategic documents from all divisions of the company  To participate in the auction to purchase SEED CO LTD data, you can email  seedcoltddatasale@proton.me  Headquarters: 113-8402 2-40-2 Hongo, Bunkyo-ku, Tokyo, Japan Phone Number: +81 338131111 Website: www.seed.co.jp Revenue: $213 Million Stock Symbol: 7743  SEED Co Ltd manufactures and supplies contact lenses, care products, spectacle frames, and other eye care products in Japan and internationally. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b6a1abd2-e0b3-443d-8354-2037a3306a38,BlackCat,NA,NA,"SEED Co Ltd does not care about protecting the data of its company and its partners. Over 100Gb of critical data are obtained thanks to the critical low security level:  - Engineering documentation for all SEED Co Ltd developments - Patent documents of the company and their divisions and partners - NDA documents - Agreements and contracts with employees and partners of SEED Co Ltd - Personal information of the management and employees of the company and their divisions - Financial and accounting documents - Marketing, analytical and research materials  If SEED Co Ltd is not contacted within 48 hours: - This blog will be published and made available to many journalists around the world. - All engineering and patent information on all SEED Co Ltd developments will be sent to SEED Co Ltd competitors and partners such as:  Tissot Medical Research – Switzerland Ziemer Ophthalmic Systems – Switzerland Ophtimalia – France Valladolid University – Spain The Hong Kong University – Hong Kong National Chiao Tung University – Taiwan Michigan State University – USA	 Eyemate® by Implandata – Germany Oculox Technology – Switzerland iSense by AcuMEMS – USA Biomems – USA	 Stanford University – USA Solx – USA KELFRED HOLDINGS LIMITEDChart Analysis Kelfred Holdings Limited UNIVERSAL VISION BIOTECHNOLOGY CO., LTD.Chart Analysis Universal Vision Biotechnology Co., Ltd. BRIGHTEN OPTIX CORPORATIONChart Analysis Brighten Optix Corporation VISCO VISION INC.Chart Analysis Visco Vision Inc. INTEROJO INC.Chart Analysis Interojo Inc. THE COOPER COMPANIES, INC.Chart Analysis The Cooper Companies, Inc.	 SHANGHAI CONANT OPTICAL CO., LTD.Chart Analysis Shanghai Conant Optical Co., Ltd. ALCON INC.Chart Analysis Alcon Inc.	 AUTEK CHINA INC.Chart Analysis Autek China Inc.	 VIZIONFOCUS INC.Chart Analysis Vizionfocus Inc. PEGAVISION CORPORATIONChart Analysis Pegavision Corporation MENICON CO., LTD.Chart Analysis Menicon Co., Ltd. ST.SHINE OPTICAL CO.,LTD.Chart Analysis St.Shine Optical Co.,Ltd. MINGYUE OPTICAL LENS CO.,LTD.Chart Analysis Mingyue Optical Lens Co.,Ltd. WARBY PARKER INC.Chart Analysis Warby Parker Inc. INSPECS GROUP PLCChart Analysis INSPECS Group plc  - All downloaded data will be posted in the public domain and will be available for anyone to download. - All information about vulnerabilities in SEED Co Ltd system will be published on theme forums, which will lead to many repeated attacks.  SEED Co Ltd has 48 hours to contact us and protect their business and data of their company, employees and partners.",02/04/54876 01:53:24
ENPPI - HACKED AND MORE THEN 1100 GB DATA LEAKED!,https://www.enppi.com/,unknown,08/10/54875,NA,"Company: Enppi  Website: www.enppi.com Email: info@enppi.com Facebook: https://www.facebook.com/EnppiCo/ Headquarters: 1A Ahmed El-Zomor Street, 8thDistrict, Nasr City, Cairo, Egypt Phone Number: +202 22762137 Revenue: $1 Billion   Enppi if you don't contact us your data will be published soon.  ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b37133d8-fd6e-4a95-91fd-a7fe3a3c8745,BlackCat,NA,NA," The company is renowned as an international, leading provider of fully integrated engineering, procurement, construction supervision, and project management services for the petroleum, petrochemicals, power and other industries. Enppi is globally recognized as a major engineering, EPC main contractor, and management contractor, with decades of experience in onshore and offshore projects in the oil and gas, refining and petrochemical industries.  Enppi has a very low level of security and data protection of its users, so we managed to steal more than 1100 GB of their data:  - Financial documents and reports - Analytical and strategic documents - Сonfidential data - Personal data of the company - Logistics documents - Contracts - Databases - Clients bases and their personal information - History of correspondence between employees and management - Clients projects - HR - And many other corporate documents   Enppi has 48 hours to contact us to get a chance to recover your data and protect your Clients from leakage.  If Enppi does not contact us within 48 hours of the attack, this blog will be published, all data will be posted to the public domain, and there will be activity that will severely harm Enppi, its Clients and partners.  Clients data will be used for illegal purposes. All Clients will be informed about the sale of their personal data by the company. Partners and suppliers will be informed about the risks of cooperation with you.  All internal marketing and analytical information will be sent to competitors.  Enppi have a chance to restore their data only within 48 hours if they contact us in the specified time. This is the only chance they have to save their reputation, their business and their Clients and partners data.",08/10/54875 22:31:34
"Ta Chen Stainless Pipe Co., Ltd",NA,NA,25/01/54858,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/4e902645-0c55-473f-82ca-02c9a43f19e7,BlackCat,NA,NA,NA,25/01/54858 01:40:18
 Nok Air,https://nokair.com,unknown,08/07/54857,NA,"We have stolen 500 GB of data, you have exactly one week to contact us, otherwise the data will be published!",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9a283098-8e40-491a-9d19-15065d61343c,BlackCat,NA,NA,"Nok Air was established in February 2004 under Sky Asia Co., Ltd. and started operations on 23 July 2004. As of March 2007, it had 130 employees and had reached around 1,400 employees by 2014.[3] Nok Air began its first international service on 31 May 2007, with daily flights to Bangalore, India, but suspended these flights in 2020.[4]  Nok Air serves the largest number of domestic routes within Thailand, with 24 routes.[5]  Nok Air operates largely independently from Thai Airways, which has caused some friction between the two companies. To gain greater control of Nok Air, Thai Airways has tried to purchase the shares of other shareholders, notably Krung Thai Bank. Although Thai Airways and Krung Thai Bank are both state enterprises under the control of the finance ministry, Krung Thai Bank refused to sell its shares in Nok Air to Thai Airways. The purchase would have lifted Thai Airways' stake in Nok Air from 39 to 49%.[6] Evidence of Thai Airways declining interest in Nok Air came in May 2017, when Thai Airways shareholding was diluted to 21.57%[7] as a result of not taking up their entitlement of a new share offering. As a consequence Thai investor, Mr. Nuttapol Chulangkul became the airline's largest shareholder, owning 23.77% of the company.[8]  Due to the preparation process to be listed in the Stock Exchange of Thailand (SET), the company name had been changed to ""Nok Airlines Company Limited"" on 16 January 2006. Then, at its initial entry to Thailand's stock market, it was renamed ""Nok Airlines Public Company Limited"" (since 18 January 2013) with trading symbol ""NOK"".[9]  In late 2013, Nok Air announced a joint venture with Scoot Airlines (a low-cost subsidiary of Singapore Airlines) to form NokScoot, a low-cost airline operating medium to long-haul international services, based out of Don Mueang Airport in Bangkok.[10] The joint venture was shut down in 2020 as a result of the COVID-19 pandemic.  A new company slogan, ""Smiling Across Asia"" was unveiled in June 2016. It hints at Nok's strategy of becoming the dominant regional carrier.[11]  On December 22, 2017, Mr. Patee Sarasin, the first Nok Air CEO (between 2004 and 2017), resigned from the company's board of directors.[12][13]",08/07/54857 15:50:32
KlamoyaCasino,https://klamoyacasino.com,unknown,29/11/54849,NA,Full pack of documents will be attached soon. SQL export contains players info with SSN. DL scans for KYC is attached. ,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/58f6501b-8e3c-4db6-8222-959288e19d87,BlackCat,NA,NA,Full pack of documents will be attached soon. SQL export contains players info with SSN. DL scans for KYC is attached. ,29/11/54849 08:25:10
Comresearch,http://comresearch.org/,unknown,03/12/54845,NA,"  Community Research Foundation (CRF) is a 501(c)(3) not-for-profit corporation.  The organization has two primary purposes:      To design and operate programs focused on the treatment, education, and rehabilitation of individuals with mental health problems who may also have co-occurring substance use problems in a way that is culturally sensitive, and will promote recovery and decrease the stigma of mental illness and co-occurring substance use problems.                                                                                                                                                                                                      To conduct scientific research which is designed to assess the quality and appropriateness of services, and continue to discover and implement innovative ways of working toward the ultimate goal of recovery from mental illness and co-occurring substance use problems. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ba425751-1bb9-4bb2-915f-56c4c2508761,BlackCat,NA,NA,All data available  in this post,03/12/54845 19:56:54
Motional.com,https://motional.com,unknown,11/06/54832,NA,Motional.com source code,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b2b12728-c880-4695-be6c-1663a7fc94a1,BlackCat,NA,NA,Motional is an American autonomous vehicle company,11/06/54832 17:31:18
rjyoung.com,https://rjyoung.com,unknown,17/08/54827,NA,FIRST 2 TB DATA ATTACHED. You have 3 days until last part will be public. Here is a lot of client info. Enjoy.  https://twitter.com/RJYoungCo,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/d25fdd7f-e379-45a4-8848-c20cf8e50d34,BlackCat,NA,NA,FIRST 2 TB DATA ATTACHED. You have 3 days until last part will be public. Here is a lot of client info. Enjoy.   https://twitter.com/RJYoungCo,17/08/54827 05:58:28
CENTRAL BANK OF GAMBIA HACKED. 2 TB OF CRITICAL DATA WAS STOLEN.,HTTPS://CBG.GM,unknown,09/10/54822,NA,"!!!UPDATE!!!  You can download some of the data at the link below (TOR). We are currently negotiating the sale of the rest of the data, if you want to participate in the auction and become a buyer of financial and personal data CBGM can write to this e-mail: gambiabankdatasales@protonmail.com  Bidding for the sale of data will end on December 7.  DATA LINK: http://ra4uys2f4pslov55oj23ckudpbmovj7brrqqnzwu25ux5ul62crbkryd.onion/CBG/  HTTPS://CBG.GM  CBG.GM is the central bank of The Gambia. Its name is abbreviated to CBG. The bank is located in Banjul and was established in 1971.  The mandate of the Central Bank of The Gambia in accordance with the CBG Act 2005 is as follows: . Achieve and maintain price stability; . Promote and maintain the stability of the currency of The Gambia; . Direct and regulate the financial, insurance, banking and currency system in the interest of the economic development of The Gambia; and . Encourage and promote sustainable economic development and the efficient utilization of the resources of The Gambia through the effective and efficient operation of a financial system. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/54ad0aba-c57f-4219-bc7d-4cc7606892ad,BlackCat,NA,NA," CBG.GM has an extremely low degree of data protection. Because of this, we received more than 2TB of sensitive data, which carries critical sensitive data:  . Personal and confidential information of bank employees, customers and management; . Data that could affect the personal finances of most Gambians; . Documents with real figures of the economy and the state of national affairs in The Gambia; . Databases, SQL, customer and partner databases; . Financial documents on the turnover of money with the U.S. and other countries of the world ; . Information about the actual distribution of securities and shareholders ; . Liquidity and internal information of the nation's commercial banks ; . Loans and advances with detailed transaction terms ; . Financial indicators of various areas of the country's economy with detail and discussion by bank management; . Internal information from the country's treasury; . Internal information on the country's trade volumes ; . Non-public information about tenders ; . A description of the economic and social methods of governing the people of The Gambia; . Critical personal information of bank executives ; . And much more..  CBG.GM has 48 hours to resolve their blocked data leak. To do so, they need to contact us at the designated time and follow all of our instructions. If CBG.GM complies with all terms of the deal to protect and restore their data, they will receive additional information from us about any vulnerabilities in their system and within hours fully restore their data and protect it from leakage to the public. If CBG.GM does not contact us within the specified time, they will face a situation that will ruin their business and reputation.  CBG.GM management has been fully informed of this situation. If they do not contact us within 48 hours of the attack on them, it will be a sign of their deliberate failure to protect data and protect the people of their country.",09/10/54822 19:11:50
nobilityrcm.com / altapartnersllc.com  /  MFAST.com / MSBS.biz sym / elitemedicalbill.com,https://nobilityrcm.com,unknown,14/03/54821,NA,"We unloaded about 1TB of data, all your most important data is there.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/595caab2-debe-4fb5-b3b0-15302c9bd67d,BlackCat,NA,NA,"We unloaded about 1TB of data, all your most important data is there.",14/03/54821 14:26:43
CONFORAMA - HACKED AND MORE THEN 1TB DATA LEAKED!,https://conforama.fr,unknown,07/03/54819,NA,"Headquarters: 2 Rue Du Pont-neuf, Paris, Île-de-France, 75001, France Phone Number: +33 892010808 Website: www.conforama.fr Website: www.conforama.es Website: www.conforama.pt Revenue: $4 Billion",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/095e6dfd-260d-4291-9d2c-a299b0bedc2a,BlackCat,NA,NA,"Conforama is Europe's second-largest home furnishings retail chain with over 200 stores in France, Spain, Switzerland, Portugal, Luxembourg, Italy, and Croatia.   Conforama have a very low level of security and protection of their users' data, so we managed to steal over 1 tb of their data:  - Financial documents and reports - Customer credit card data - Marketing documents - Analytical and strategic documents - Personal company data - Logistics documents - Data bases of melons - Client bases and their personal information - Correspondence histories of employees and management  And other sensetive data...  Conforama has 48 hours to contact us to get a chance to recover your data and protect your customers from the leak.   If Conforama does not contact us within 48 hours of the attack, this blog will be published, all data will be posted to the public domain, and there will be activity that will severely harm Conforama, its customers and partners.  Clients' financial data will be used for illegal purposes. All customers will be made aware of the company's sale of their personal data. Partners and suppliers will be informed about the risks of cooperation with us.  All internal marketing and analytical information will be sent to competitors.  Conforama have a chance to restore their data only within 48 hours if they contact us in the specified time. This is the only chance they have to save their reputation, their business and their customers' and partners' data. ",07/03/54819 00:35:30
HUSSEY GAY BELL,https://husseygaybell.com/,unknown,07/11/54817,NA,"The essence of Hussey Gay Bell’s strength ​in design and delivery ​lies in the talented group of individuals who work tirelessly on our clients’ behalf. We are remarkably fortunate to have the most talented and dedicated professionals working here at Hussey Gay Bell. With talents ranging from engineering and architecture to surveying – coupled with our dedication to the firm’s core values of client service, innovation, initiation of ideas, collaboration, and the development of the most important aspect of the firm, our people – I have no doubt we can keep the firm growing and performing to the highest level of standards. As we do so, we will also continue our long and established history of professional and civic involvement working with dozens of civic and charitable organizations and serving on industry and community boards to improve the quality of life for the people in the communities we serve. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a1faa2d5-61d3-4dcf-a1ec-ef4845f8e182,BlackCat,NA,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!! ENJOY!!!,07/11/54817 04:24:27
Network Communications Inc,http://net-com.com/,unknown,04/07/54815,NA,"Our years of experience enable us to take straightforward approach to solving our clients' most complex business challenges. We consultants work hand-in-hand with clients to improve business performance, maximize IT investment value, and create competitive advantage. We offer a wide range of expertise, including enterprise network design, business application outsourcing, and technology integration. We are determined to make your business run better in the most precise, sensible ways possible.  ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/24a1aff4-3dc6-4eda-9cc1-a39e511cbccd,BlackCat,NA,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!  ENJOY!!!,04/07/54815 10:21:20
Bosselman Energy Inc,https://www.bosselmanenergy.com,unknown,09/09/54802,NA,"More than 900 gigabytes of  sensitive data on your network were DOWNLOADED.  Data includes: - Employees personal data, CVs, DL, SSN. - Complete network map including credentials for local and remote services. - Private financial information including: client's data, bills, budgets, annual reports, bank statements. - Manufacturing documents including: datagrams, schemas, drawings in solid works format - And more...",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/1d67b183-5c75-4f3d-b60b-604ee4fa7127,BlackCat,NA,NA,"Fred Bosselman and his family opened Bosselman & Eaton Truck Stop on U.S. Highway 30 in Grand Island, Nebraska in 1948. The company grew and expanded into many new ventures, including convenience stores, truck plazas, fuel and propane services, transportation services, restaurants, truck repair shops, and lodging. The company split into two entities in 2011 to handle its rapid growth and diversity of divisions. Bosselman Energy Companies are focused on wholesale and transportation.",09/09/54802 19:36:17
Kolas Law Firm,www.kolaslaw.com/,unknown,16/03/54793,NA,"Looking for a lawyer can be stressful.  Be sure the attorney you choose has documented experience to address your specific needs. I’ve been a licensed attorney in Indiana for 34 years with emphasis on real estate, tax sales, professional license defense, wills, estates and trusts, and business law. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/be364a81-d86e-4ccd-a595-baf46fb7fada,BlackCat,NA,NA,200GB Data taken with emails and client information. More coming,16/03/54793 05:59:58
Rankam China Manufacturing,http://rankam.com/,unknown,04/03/54793,NA,"Rankam offers almost 50 years of experience in the manufacturing business with a vast customer base in U.S.A., Canada and Europe.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/5dd36cbb-1a7b-4986-911b-a086d32606c9,BlackCat,NA,NA,150GB Stolen data Leaked. More coming,04/03/54793 14:14:55
 SUMITOMO BAKELITE | sbna-inc.com,https://sbna-inc.com/,unknown,09/08/54791,NA,"Among the various plastics, phenolic resin has the oldest history. It was developed by Dr. Leo H. Baekeland, an American of Belgian ancestry, in 1907 and he named that synthetic resin ""Bakelite"". In 1911, Sankyo Company (currently Daiichi Sankyo Co., Ltd.) was assigned the rights to execute the patents in Japan through the good offices of Dr. Jokichi Takamine, a close friend of Dr. Baekeland. Trial production of phenolic resin was started at the Shinagawa Plant of Sankyo Company. That was the origin of the Japan's plastics industry, and the name of our company came from this achievement.  In 1932, phenolic resin business of Sankyo Co., Ltd. was separated and formed Nippon Bakelite Co., Ltd. In 1955, Nippon Bakelite Co., Ltd. merged with Sumitomo Synthetic Resin Industries, Ltd. to found Sumitomo Bakelite Co., Ltd. As a pioneer in plastics, with our expertise in and up-to-date facilities for plastics, we have been always developing new technologies for use in various fields in order to contribute to establishing safe and comfortable living.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/6850c462-1769-4728-86b2-566ebb2e66df,BlackCat,NA,NA,"We have downloaded more than 230+ GB of your sensitive data - documents, invoices, clients info and etc. If you not respond, we will make it public.",09/08/54791 14:09:50
 Comando Conjunto de las Fuerzas Armadas Del Ecuador,https://www.ccffaa.mil.ec,unknown,04/03/54789,NA,"The armed forces are part of the public forces and have the stated mission of preserving the integrity and national sovereignty of the national territory. It also involves participating in the country's social and economic development and assisting in the maintenance of internal order. This military branch, since its inception, was established as one of the organs of homeland defense, consolidating itself throughout its existence as ""the highest organ of planning, preparation and strategic conduct of military operations and of advising on military and war policies.""",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ba22d3a4-1169-4dd2-91a2-d6c7139e8a0c,BlackCat,NA,NA,Datas:  - Military Soldiers - Defense External - Defense Internal - Secret Documents - War strategy - Many Others ,04/03/54789 16:17:41
