Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links
Fantasy Springs Resort Casino,https://www.fantasyspringsresort.com,NA,26/12/2022,NA,"Walk through the doors of Fantasy Springs Resort Casino and you’re immediately transported to a world of elegance, exciting ambience and good luck. This award-winning casino in the Palm Springs area is home to 1,800 of the hottest slots and video poker, 40 table games, the action-packed casino-floor Springs bar, friendly hosts and dealers, and the Fantasy Rewards Club – offering guests the best perks and rewards of any desert casino. Fantasy Springs offers world-class gaming at a desert oasis setting, close to anywhere in southern California. Here you’ll find the newest and hottest games, low table minimums and best odds in the Valley.These are just a few of the things that make Fantasy Springs Resort Casino a premier gaming destination in Southern California. Must be 21 or over to gamble in the casino.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/4r0WId8QXph8ySppCesSVJ6OwhAitPld,Royal,370Gb,310M,100,Marketing|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/Marketing.rar||Users|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/Users.rar||FS|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/FS.rar||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/Archive1.tgz,370Gb,310M,100,Marketing|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/Marketing.rar||Users|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/Users.rar||FS|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/FS.rar||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/casino/Archive1.tgz
Robinson Pharma,https://www.robinsonpharma.com,NA,26/12/2022,NA,"Robinson Pharma, Inc. is a full-service contract manufacturer of softgels, tablets, capsules, powders, and liquids for the dietary supplements and personal health care industries. Currently, we have the largest softgel capacity in the United States. We are a leading vitamin manufacturer with multiple third-party certifications for GMP Compliance. We search the globe for the best raw materials and guarantee that all your products will be manufactured in the USA. Robinson Pharma, Inc. also guarantees one of the shortest order lead times in the industry, as well as packaging services.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/T4nGYIycHU6USkW29HQcZNe8CgzfHXsJ,Royal,330Gb,300M,100,Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pharma/Archive1.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pharma/Archive3.tgz,330Gb,300M,100,Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pharma/Archive1.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pharma/Archive3.tgz
Atlatec SA de CV,https://www.atlatec.com,NA,25/12/2022,NA,"We are the most important company in Mexico that integrates water infrastructure projects, with more than 60 years of experience, having developed more than 90 public and private projects. We provide solutions with the highest technology and innovation for water and wastewater treatment.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/zkKwds3ZMuSg9glzg5Y2WDTXwHc0DQ21,Royal,2Gb,180M,100,RH|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Atlatec/RH.tgz,2Gb,180M,100,RH|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Atlatec/RH.tgz
Rech Informatica Ltda,https://www.rech.com.br,NA,23/12/2022,NA,"Rech Informática Ltda is a company that operates in the Staffing and Recruiting industry. It employs 51-100 people and has $10M-$25M of revenue. Headquarters: 460 Rua Tupanciretã, Novo Hamburgo, Rs, 93334-480, Brazil",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/RR8xrBi8wdzm0XH2ZRnjwIDWpHgpLplW,Royal,1.1Tb,10M,0,,1.1Tb,10M,0,
Aegea Group companies,https://www.aegea.com.br,NA,23/12/2022,NA,"Founded in 2010, Aegea is one of Brazil’s largest private sanitation companies. In each town it operates, it takes more health and quality of life to the population, always respecting the environment and local culture. Today, more than 21 million people are served in 154 cities across Brazil.﻿Aegea manages sanitation assets through full or partial common concessions, sub-concessions and public-private partnerships (PPPs) and manages public concessions in the entire water cycle, i.e., supply, collection and treatment of sewage according to the profile and needs of each town.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/vx9f1083z9mQGDx0brTIMZHW3sJ8SuQG,Royal,1.2Tb,365M,0,,1.2Tb,365M,0,
ATLAS,http://www.atlascommodities.com,NA,21/12/2022,NA,Passports / SSN / Confidential Docs ,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/cAXuo9z2SoW1nW7gPUUhbeS0SC3jvI3S,Royal,515gb,10M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/ATLAS/eoqpAWEwS8/PROOFPACK.zip,515gb,10M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/ATLAS/eoqpAWEwS8/PROOFPACK.zip
Zehnders of Frankenmuth,https://www.zehnders.com,NA,20/12/2022,NA,"ZEHNDER'S OF FRANKENMUTH - A FOUR-SEASON FAMILY VACATION DESTINATION - HOTEL, WATERPARK, DINING, SHOPPING & GOLFWelcome to Zehnder's and make yourself at home. This is your web window to our world famous, flagship restaurant Zehnder's of Frankenmuth, our championship golf course The Fortress, our unique shopping experience Zehnder's Marketplace and the aquatic excitement of Zehnder's Splash Village Hotel and Indoor waterpark. Eat, sleep, shop, and play in the Bavarian themed village of Frankenmuth, Michigan. Just 90 miles north of Detroit and voted best day trip in Michigan by Detroit News readers, Zehnder's and Frankenmuth is enjoyed by millions of people each year.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/wujbHsaYdSzMjctwJGUpISBSJdRUhlvE,Royal,50Gb,117M,0,,50Gb,117M,0,
Mol,http://molcy.com,NA,16/12/2022,NA,"MOL, A COMPANY IN MOVEMENTSince the founding of MOL in 1944 MOL distinguished itself as a company that does not shy away from technical challenges, which has become our trademark.Active product development, innovative approach and a huge internationalization has made the company into what it is today: more than 400 motivated members cooperating together for the development of a high quality range of products.A team of specialist engineers runs the aftesales service at home and abroad. MOL has been awarded the ISO 9001-2008 Certificate, the Caterpillar Certified Supplier Label and Welding Certificate following EN15085 (welding of rail-road vehicles and parts). The awards are the result of constant control and non-stop fine-tuning of production methods.In 2009 we pursuised our growth strategy by expanding our product range Trailers with re-newed offer of trailers, flat trailers.In 2011 the first prototype of the new model Pusher 4000 (VDK) was put into use.In 2012 the new production hall was ready for use. Rail road vehicles were extended with new models.There is also more research for ecological solutions. Some of our clients are using hybrid refuse collection vehicles. For the terminal tractor is a 100% electrical version available",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/ZwxPw38Zgyx18cTdkpdo3T267VdLSG3y,Royal,350,19,100,http://yef4xoqj2jq554rqetf2ikmpdtewdlbnx5xrtjtjqaotvfw77ipb6pad.onion/mol/,350,19,100,http://yef4xoqj2jq554rqetf2ikmpdtewdlbnx5xrtjtjqaotvfw77ipb6pad.onion/mol/
Conform,https://www.conform.it,NA,15/12/2022,NA,"Conform is a company that operates in the Education industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Avellino, Campania, Italy.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/5whEE2QnwsFhuwleBFOZgkKPDECiH3rF,Royal,155Gb,5M,100,Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Conform/Archive.tgz||NAS_VIDEO|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Conform/NAS_VIDEO.tgz,155Gb,5M,100,Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Conform/Archive.tgz||NAS_VIDEO|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Conform/NAS_VIDEO.tgz
Vincent Fister,http://vincentfister.com,NA,15/12/2022,NA,,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/GanlBBvZXREthK68bgv6tvFhC6625OoW,Royal,112,14,0,,112,14,0,
MARK-TAYLOR,https://www.mark-taylor.com,NA,13/12/2022,NA,"Mark-Taylor Companies is the leading developer, owner, and investment manager of Arizona's premier rental communities. Our mission is to create exceptional communities that invite, inspire, and feel like home. Because we function as a private developer, owner, and operator, our in-house team is able to maintain our high standards throughout every aspect of our business. Today, our diverse business lines as both a principal and service provider allow us to successfully adapt to trends within the real estate industry.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/z3e1ZhnoLbyNaZtmh4MvuPEcxFrhJyo2,Royal,350Gb,438M,0,,350Gb,438M,0,
Pinnacle Communications,http://www.pinnaclecommunications.com,NA,13/12/2022,NA,"Pinnacle Communications merged with Justin Hannesson and Pinnacle West LLC to become the company that we are today. This dynamic strength exhibited within both companies merging into one has positioned Pinnacle as one of the most valued brands in the hospitality industry. Through all of 30-plus years, we continue to grow and our reputation for quality service and a robust product line keeps us in the forefront of the niche hospitality market. Pinnacle’s employees have always been the core and heartbeat of the company since the day we started. Along with an unmatched work-ethic, talent and ingenuity, Pinnacle’s all-star staff has survived the many economic and turbulent challenges of the past 30 years. Through it all our proven leadership team and staff have shown great determination and passion for our company, and we look forward to a bright future.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/3EoiIsrycIDIBYtgjLVlU4M7uZ7EPdWc,Royal,560Gb,20M,100,Germantown|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/Germantown.tgz||IT|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/IT.tgz||Data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/Data.tgz||Fargo|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/Fargo.tgz,560Gb,20M,100,Germantown|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/Germantown.tgz||IT|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/IT.tgz||Data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/Data.tgz||Fargo|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pinnacle/Fargo.tgz
Adams-Friendship Area School District,https://afasd.net,NA,07/12/2022,NA,"Adams-Friendship Area School DistrictAddress:500 North Pierce StreetAdams, WI 53910608-339-3016Site: www.afasd.net",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/fHwgR0YanBGlETinfc6ItRmggaR59AYS,Royal,0,0,100,Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/AFASD/Archive.tgz,0,0,100,Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/AFASD/Archive.tgz
All Seasons Global Solutions,https://allseasonmovers.com,NA,03/12/2022,NA,"All Season Movers NJ got your back anytime anywhereFinding trustworthy professionals that can provide you with quality moving and storage services is not always the easiest thing to do. That is why we have made it our priority to provide customers with both quality and affordable moving-related services. That makes us one of the best movers NJ has to offer and also – what makes us very proud.Our moving consultants have plenty of years of experience in planning and organizing all types of relocations. And our movers have undergone vigorous training in order to gain skills to perform any kind of packing and relocating services. From local to international, from one-bedroom apartments to several-stories commercial building relocations. Whether you are looking for NJ movers and packers or someone to provide you with partial moving and storage services, we are the ones to turn to.We are a team of people who love their job and that is something our clients can feel while moving. Our polite and diligent packers and movers pay special attention to all details concerning a move and that is why clients never fail to recommend us to friends and family. Contact our All Season Movers NJ and get your free and non-obligatory moving estimate. Let us show you how a stress-free and affordable relocation looks like!",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/MuWYApRUa1OFfbIItp05I0Sil2J86H0d,Royal,100Gb,15M,100,Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/allseasonmovers/Archive1.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/allseasonmovers/Archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/allseasonmovers/Archive3.tgz,100Gb,15M,100,Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/allseasonmovers/Archive1.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/allseasonmovers/Archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/allseasonmovers/Archive3.tgz
Summit,http://www.yoursummit.com,NA,02/12/2022,NA,"SummitWe are a national full-service benefits firm offering innovative and comprehensive solutions that cover the benefits, insurance and investments landscape. We are passionate about building relationships, providing experienced and thoughtful professional guidance that helps secure a healthy financial outlook.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/vzeKmk3HgikUJ9p58BfDZls9y4RjJ4Bb,Royal,100Gb,60M,100,Scghost|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/summit/scghost.com.rar,100Gb,60M,100,Scghost|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/summit/scghost.com.rar
PGT Innovations,http://www.pgtinnovations.com,NA,02/12/2022,NA,"PGT InnovationsFor nearly 40 years, our people have been driven to create the strongest, safest building products on the market, with a resolute focus on always putting the customer first. As we’ve grown through Eze-Breeze® and PGT® Custom Windows + Doors, and strengthened by the addition of CGI® in 2015, WinDoor® in 2016, Western Window Systems and CGI Commercial in 2018, NewSouth Window Systems in 2020, and Eco Window Systems and Anlin Windows & Doors in 2021, we’ve developed a community centered around integrity, safety, innovation, and sustainable growth. Together as PGT Innovations™, we are leveraging this combined strength by integrating our collective offerings, commercializing new products, expanding our services, and moving into new markets. We invent. We build. We deliver.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/ycUUex8iNTJfAqCDeDaZgBGiZqsRtDTz,Royal,1Tb,1B,100,Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pgt/Archive1.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pgt/Archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pgt/Archive3.tgz,1Tb,1B,100,Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pgt/Archive1.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pgt/Archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/pgt/Archive3.tgz
