Organisation,Org_URL,Country,Industry,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Views,Leak_Size,Leak_Links,Org_Revenue,Percentage_Leaked
"Abdulaziz, Grossbart & Rudman",http://agrlaw.com,United States of America,Law,2022-07-12,Operational,"Abdulaziz, Grossbart & Rudman is an resource to help avoid, minimize & resolve the legal issues that arise in construction.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/agrlaw.com/,Bianlian,NA,NA,/file_tree/agrlaw.com.txt,33M,NA
"Abdulaziz, Grossbart & Rudman",http://agrlaw.com,United States of America,Law,2022-07-12,Financial Records,"Abdulaziz, Grossbart & Rudman is an resource to help avoid, minimize & resolve the legal issues that arise in construction.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/agrlaw.com/,Bianlian,NA,NA,/file_tree/agrlaw.com.txt,33M,NA
"Abdulaziz, Grossbart & Rudman",http://agrlaw.com,United States of America,Law,2022-07-12,Server Data,"Abdulaziz, Grossbart & Rudman is an resource to help avoid, minimize & resolve the legal issues that arise in construction.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/agrlaw.com/,Bianlian,NA,NA,/file_tree/agrlaw.com.txt,33M,NA
Magnachem,https://magnachem.com,Dominican Republic,Healthcare,2022-07-21,Server Data,"First Dominican pharmaceutical company in the development of research molecules, with two patents in the United States and 55 other countries, supported by clinical studies for the treatment of pain and different types of cancer.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/magnachem.com/,Bianlian,NA,NA,/file_tree/magnachem.com.txt,47M,NA
Magnachem,https://magnachem.com,Dominican Republic,Healthcare,2022-07-21,Employee Data,"First Dominican pharmaceutical company in the development of research molecules, with two patents in the United States and 55 other countries, supported by clinical studies for the treatment of pain and different types of cancer.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/magnachem.com/,Bianlian,NA,NA,/file_tree/magnachem.com.txt,47M,NA
Magnachem,https://magnachem.com,Dominican Republic,Healthcare,2022-07-21,Operations,"First Dominican pharmaceutical company in the development of research molecules, with two patents in the United States and 55 other countries, supported by clinical studies for the treatment of pain and different types of cancer.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/magnachem.com/,Bianlian,NA,NA,/file_tree/magnachem.com.txt,47M,NA
Magnachem,https://magnachem.com,Dominican Republic,Healthcare,2022-07-21,Others,"First Dominican pharmaceutical company in the development of research molecules, with two patents in the United States and 55 other countries, supported by clinical studies for the treatment of pain and different types of cancer.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/magnachem.com/,Bianlian,NA,NA,/file_tree/magnachem.com.txt,47M,NA
Alegria Family Services,https://www.alegriafamily.com,United States of America,Healthcare,2022-07-22,Financial Records,Alegria Family Services (AFS) provides residential services to individuals with developmental disabilities.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alegriafamily.com/,Bianlian,NA,NA,/dl/Alegria_Family_Services_file_server_data.7z.001,7M,NA
Alegria Family Services,https://www.alegriafamily.com,United States of America,Healthcare,2022-07-22,Employee Data,Alegria Family Services (AFS) provides residential services to individuals with developmental disabilities.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alegriafamily.com/,Bianlian,NA,NA,/dl/Alegria_Family_Services_file_server_data.7z.001,7M,NA
Alegria Family Services,https://www.alegriafamily.com,United States of America,Healthcare,2022-07-22,Server Data,Alegria Family Services (AFS) provides residential services to individuals with developmental disabilities.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alegriafamily.com/,Bianlian,NA,NA,/dl/Alegria_Family_Services_file_server_data.7z.001,7M,NA
Alegria Family Services,https://www.alegriafamily.com,United States of America,Healthcare,2022-07-22,Customer Data,Alegria Family Services (AFS) provides residential services to individuals with developmental disabilities.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alegriafamily.com/,Bianlian,NA,NA,/dl/Alegria_Family_Services_file_server_data.7z.001,7M,NA
Alegria Family Services,https://www.alegriafamily.com,United States of America,Healthcare,2022-07-22,Medical Records,Alegria Family Services (AFS) provides residential services to individuals with developmental disabilities.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alegriafamily.com/,Bianlian,NA,NA,/dl/Alegria_Family_Services_file_server_data.7z.001,7M,NA
"WWAY-TV, LLC",https://www.wwaytv3.com,United States of America,Art & Entertainment,2022-07-22,Financial Records,"WWAY (channel 3) is a television station in Wilmington, North Carolina, United States, affiliated with ABC, CBS, and The CW Plus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/wwaytv3.com/,Bianlian,NA,NA,/file_tree/wwaytv3.com.txt,10M,NA
"WWAY-TV, LLC",https://www.wwaytv3.com,United States of America,Art & Entertainment,2022-07-22,Marketing Data,"WWAY (channel 3) is a television station in Wilmington, North Carolina, United States, affiliated with ABC, CBS, and The CW Plus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/wwaytv3.com/,Bianlian,NA,NA,/file_tree/wwaytv3.com.txt,10M,NA
"WWAY-TV, LLC",https://www.wwaytv3.com,United States of America,Art & Entertainment,2022-07-22,Employee Data,"WWAY (channel 3) is a television station in Wilmington, North Carolina, United States, affiliated with ABC, CBS, and The CW Plus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/wwaytv3.com/,Bianlian,NA,NA,/file_tree/wwaytv3.com.txt,10M,NA
"WWAY-TV, LLC",https://www.wwaytv3.com,United States of America,Art & Entertainment,2022-07-22,Operations,"WWAY (channel 3) is a television station in Wilmington, North Carolina, United States, affiliated with ABC, CBS, and The CW Plus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/wwaytv3.com/,Bianlian,NA,NA,/file_tree/wwaytv3.com.txt,10M,NA
"WWAY-TV, LLC",https://www.wwaytv3.com,United States of America,Art & Entertainment,2022-07-22,Company Projects,"WWAY (channel 3) is a television station in Wilmington, North Carolina, United States, affiliated with ABC, CBS, and The CW Plus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/wwaytv3.com/,Bianlian,NA,NA,/file_tree/wwaytv3.com.txt,10M,NA
The Preston Partnership,https://www.theprestonpartnership.com,United States of America,Engineering,2022-07-28,Financial Records,"The Preston Partnership, LLC is a multi-disciplinary firm which focuses on architecture and design.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/theprestonpartnership.com/,Bianlian,NA,NA,/file_tree/theprestonpartnership.com.txt,5M,NA
The Preston Partnership,https://www.theprestonpartnership.com,United States of America,Engineering,2022-07-28,Marketing Data,"The Preston Partnership, LLC is a multi-disciplinary firm which focuses on architecture and design.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/theprestonpartnership.com/,Bianlian,NA,NA,/file_tree/theprestonpartnership.com.txt,5M,NA
The Preston Partnership,https://www.theprestonpartnership.com,United States of America,Engineering,2022-07-28,Server Data,"The Preston Partnership, LLC is a multi-disciplinary firm which focuses on architecture and design.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/theprestonpartnership.com/,Bianlian,NA,NA,/file_tree/theprestonpartnership.com.txt,5M,NA
The Preston Partnership,https://www.theprestonpartnership.com,United States of America,Engineering,2022-07-28,Company Projects,"The Preston Partnership, LLC is a multi-disciplinary firm which focuses on architecture and design.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/theprestonpartnership.com/,Bianlian,NA,NA,/file_tree/theprestonpartnership.com.txt,5M,NA
The Preston Partnership,https://www.theprestonpartnership.com,United States of America,Engineering,2022-07-28,Communication Records,"The Preston Partnership, LLC is a multi-disciplinary firm which focuses on architecture and design.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/theprestonpartnership.com/,Bianlian,NA,NA,/file_tree/theprestonpartnership.com.txt,5M,NA
Advance Corporation,https://www.advancecorp.com,United States of America,Manufacturing,2022-07-29,Operations,"Advance Corporation was founded in 1941 as a manufacturer of flexographic products. Now they design and manufacture various good like corporate gifts, awards, flyers, etc.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/advancecorp.com/,Bianlian,NA,NA,/dl/Advance_technical.7z.001.7z,15M,NA
Advance Corporation,https://www.advancecorp.com,United States of America,Manufacturing,2022-07-29,Company Projects,"Advance Corporation was founded in 1941 as a manufacturer of flexographic products. Now they design and manufacture various good like corporate gifts, awards, flyers, etc.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/advancecorp.com/,Bianlian,NA,NA,/dl/Advance_technical.7z.001.7z,15M,NA
Advance Corporation,https://www.advancecorp.com,United States of America,Manufacturing,2022-07-29,Server Data,"Advance Corporation was founded in 1941 as a manufacturer of flexographic products. Now they design and manufacture various good like corporate gifts, awards, flyers, etc.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/advancecorp.com/,Bianlian,NA,NA,/dl/Advance_technical.7z.001.7z,15M,NA
